"Topic 0, way paid, based principles, got going, going create jobs, auto industry stronger, higher tax rate somebody, shake everybody fair share, monologue going, pass jobs job, make choices got decide"
"Topic 1, make sure, trade agreements, american jobs, american jobs act, jobs act, pass jobs, congress pass, small businesses, jobs country, american people"
"Topic 2, libyan people, family friends, october statement passing, today stand, people libya, year ago, voices help, michelle saddened, peace security, october statement"
"Topic 3, opportunity reaffirm, high school, make sure, young people, second term, peace world, people world, closest allies, reason hope, universal rights"
"Topic 4, opportunity reaffirm, raise money, knew going, workers job pass want, america idea, hurting children instead helping, sign got, honor class, making sure teachers, consumer financial protection"
"Topic 5, family people, michelle send, deepest condolences, security prosperity, home work, statement passing, learned passing, make difference, civic engagement, september statement"
"Topic 6, loved ones, years won, past years, september statement, working jobs, job rebuilding roads bridges, proposals past, help come, workers job rebuilding roads, getting best"
"Topic 7, laughter think, rose garden, schools tell, congress today, fifty years, congratulations thank, basketball think, ask people, making happen, work understand"
"Topic 8, prime minister, civil war, people held, day people, abraham lincoln, barack september, african americans, step forward, fifty years, african american"
"Topic 9, teachers construction, finishing started, september american jobs, fight kind, america today, families tax, putting money, work living, high expectations high, loopholes eliminate"
"Topic 10, prime minister, look forward productive, look forward productive discussion, forward productive, forward productive discussion, resolution conflict, productive discussion, men women uniform, waldorf astoria hotel, look forward"
"Topic 11, prime minister, steve jobs, taken place, welcome prime, welcome prime minister, bilateral meeting, day like, october statement, bilateral meeting nations want, place region"
"Topic 12, entire country, october statement, century economy, make sure, civil society, making sure, half years, people make, going good, health care"
"Topic 13, make sure, want extend, behalf american people, american people want, behalf american, determine destiny, day behalf, september statement, people want, american people"
"Topic 14, comprehensive immigration, young people, comprehensive immigration reform, immigration reform, health insurance, lot people, people going, african american, important thing, laws books"
"Topic 15, al qaeda, armed forces, civil society, pass jobs, september statement, service members, national security, men women, political leaders, forward working"
